nfl_id,home_team,away_team,home_won,home_win_probability,home_score,predicted_home_score,away_score,predicted_away_score,home_total_yards,predicted_home_total_yards,away_yards,predicted_away_total_yards
2010100311,SD,ARI,1.0,1.0,20.967322945594788,41.0,21.842920780181885,10.0,371.87978303432465,419.0,366.8642789721489,123.99999999999999
2010100312,NYG,CHI,1.0,1.0,20.72323226928711,17.0,21.69344198703766,3.0,371.57555294036865,372.00000000000006,367.74991124868393,109.99999999999999
2010100400,MIA,NE,0.0,0.0,27.310768485069275,14.0,26.66636037826538,41.0,356.76190823316574,400.0,339.7726619243622,265.0
2010101000,BUF,JAC,0.0,0.0,26.836308479309082,26.0,26.293578028678894,36.0,358.19057857990265,306.0,341.812513589859,381.0
2010101001,BAL,DEN,1.0,1.0,20.595817387104034,31.0,21.59474289417267,17.0,371.8963397741318,414.99999999999994,368.32330334186554,345.99999999999994
2010101002,IND,KC,1.0,1.0,20.909732460975647,19.0,21.720548391342163,9.0,373.83915054798126,341.0,367.5360916852951,261.0
2010101003,WAS,GB,1.0,1.0,21.147707104682922,16.0,22.109620451927185,13.0,368.46721667051315,373.0,365.38417541980743,426.99999999999994
2010101004,DET,STL,1.0,1.0,21.616697788238525,44.0,22.315108060836792,6.0,370.917729139328,322.00000000000006,364.12613147497177,341.0
2010101005,CAR,CHI,0.0,0.0,26.985545217990875,6.0,26.449886083602905,23.0,356.88186794519424,147.0,340.9736004471779,247.0
2010101006,CIN,TB,0.0,0.0,26.820794820785522,21.0,26.242923974990845,24.0,359.0842209458351,358.0,342.0732822418213,391.0
2010101007,CLE,ATL,0.0,0.0,25.966507017612457,10.0,25.564681828022003,20.0,361.8183442354202,269.0,345.7989319562912,338.0
2010101008,HOU,NYG,0.0,0.0,25.99935621023178,10.0,25.59109902381897,34.0,361.7057047486305,194.99999999999997,345.65352392196655,414.0
2010101009,ARI,NO,1.0,1.0,20.92661714553833,30.0,21.876424074172974,20.0,370.4680143594742,194.0,366.7015860080719,358.0
2010101010,DAL,TEN,0.0,0.0,26.783535063266754,27.0,26.218714833259583,34.0,359.0851790904999,511.0,342.2082273364067,321.0
2010101011,OAK,SD,1.0,1.0,20.937570571899414,35.0,21.837499499320984,27.0,371.54508394002914,279.0,366.9041377902031,506.0
2010101012,SF,PHI,0.0,0.0,26.896090388298035,24.0,26.378757178783417,27.0,357.1694646477699,364.0,341.3626455068588,352.0
2010101100,NYJ,MIN,1.0,1.0,20.931452691555023,29.0,21.7717604637146,20.0,372.981994330883,328.00000000000006,367.25566190481186,336.0
2010101700,GB,MIA,0.0,0.0,25.639373183250427,20.0,25.241953015327454,23.0,364.2629928588867,359.00000000000006,347.5520684123039,381.0
2010101701,STL,SD,1.0,0.0,26.605382978916168,20.0,26.10844886302948,17.0,358.96774888038635,300.0,342.82615399360657,287.0
2010101702,NE,BAL,1.0,1.0,21.038425981998444,23.0,21.826937794685364,20.0,373.3512632846832,394.0,366.9227257966995,377.0
2010101703,PIT,CLE,1.0,1.0,21.22053223848343,28.0,22.047624945640564,10.0,371.03182500600815,378.00000000000006,365.68514782190323,328.00000000000006
2010101704,HOU,KC,1.0,1.0,20.78225290775299,35.0,21.667434990406036,31.0,373.10137915611267,420.99999999999994,367.8663066625595,417.0
2010101705,NYG,DET,1.0,1.0,21.140863060951233,28.0,21.907615840435028,20.0,373.05550318956375,334.00000000000006,366.45649260282516,366.0
2010101706,PHI,ATL,1.0,1.0,20.46668040752411,31.0,21.492595911026,17.0,372.2695562839508,474.0,368.91670149564743,293.0
2010101707,CHI,SEA,0.0,0.0,26.494054555892944,20.0,26.020063877105713,23.0,359.3234121799469,307.0,343.31097519397736,353.00000000000006
2010101708,TB,NO,0.0,0.0,26.388786733150482,6.0,25.90143132209778,31.0,360.4336718916893,277.0,343.94706827402115,475.0
2010101709,DEN,NYJ,0.0,0.0,26.518178701400757,20.0,25.977081656455994,24.0,360.6166775226593,345.99999999999994,343.519850730896,319.0
2010101710,SF,OAK,1.0,1.0,21.2212473154068,17.0,22.044238030910492,9.0,371.1214306950569,349.0,365.7028160095215,179.0
2010101711,MIN,DAL,1.0,1.0,20.663849472999573,24.0,21.622111678123474,21.0,372.31773179769516,188.0,368.1519487500191,314.0
2010101712,WAS,IND,0.0,0.0,26.84513145685196,24.0,26.312696635723114,27.0,357.89573830366135,335.0,341.71309649944305,469.0
2010101800,JAC,TEN,0.0,0.0,27.077882528305054,3.0,26.43035912513733,30.0,358.6287189722061,249.0,341.0401723384857,324.0
2010102400,ATL,CIN,1.0,1.0,20.68755602836609,39.0,21.61147791147232,32.0,372.9357734322548,451.99999999999994,368.1997410058975,469.0
2010102401,MIA,PIT,0.0,0.0,27.375618755817413,22.0,26.738926827907562,23.0,356.092203438282,313.0,339.38568645715714,348.0
2010102402,BAL,BUF,1.0,1.0,21.544694900512695,37.0,22.244313597679138,34.0,371.4525271654129,364.0,364.52602273225784,506.0
2010102403,KC,JAC,1.0,1.0,21.27314305305481,42.0,22.070875108242035,20.0,371.3024433851242,426.0,365.5426142215729,300.0
2010102404,NO,CLE,0.0,0.0,26.92596471309662,17.0,26.311791241168976,30.0,359.06977212429047,394.0,341.6898327469826,210.0
2010102405,CHI,WAS,0.0,0.0,26.04793894290924,14.0,25.60552805662155,17.0,362.08417189121246,322.00000000000006,345.5635349750519,308.0
2010102406,CAR,SF,1.0,1.0,20.91879564523697,23.0,21.843571186065674,20.0,371.11234748363495,379.0,366.8788810968399,282.0
2010102407,TB,STL,1.0,1.0,21.61171442270279,18.0,22.374191522598267,17.0,369.47698616981506,313.0,363.81665074825287,285.0
2010102408,TEN,PHI,1.0,1.0,20.97324311733246,37.0,21.82756233215332,19.0,372.32919120788574,328.00000000000006,366.943651676178,326.0
